Cigar,Brand,Packaging,QTY,Vitola,Type,Size,Purchase Date,Humidor Data,Box Date,Retailer,PPS,Aging
Liga Privada No. 9,Drew Estate,Loose,2,Toro,NC,"6.0"" x 52",8/6/2025,8/12/2025,,Fox,,
Liga Privada T52,Drew Estate,Loose,2,Toro,NC,"6.0"" x 52",8/6/2025,8/12/2025,,Fox,,
Undercrown Maduro,Drew Estate,Fresh Pack,5,Toro,NC,"6.0"" x 52",8/6/2025,8/12/2025,,Fox,,
Le Bijou 1922,My Father,Loose,2,Toro,NC,"6.0"" x 52",8/6/2025,8/12/2025,,Fox,,
Undercrown,Drew Estate,Box,25,Gran Toro,NC,"6.0"" x 52",8/11/2025,8/13/2025,,CI,,
Serie V Melanio Maduro,Oliva,Box,10,Churchhill,NC,"7.0"" x 50",8/11/2025,8/13/2025,,CI,,
Oliva Free Sampler,Oliva,Sampler,10,Misc,NC,Misc,8/11/2025,8/13/2025,,CI,,
Undercrown 10,Drew Estate,Loose,5,Toro,NC,"6.0"" x 52",8/11/2025,8/13/2025,,CI,,
CAO Brazilia Gol!,CAO,Sampler,5,Robusto Extra,NC,"5.0"" x 56",8/11/2025,8/13/2025,,CI,,
Rocky Patel Edge,Rockey Patel,Sampler,5,Toro,NC,"6.0"" x 52",8/11/2025,8/13/2025,,CI,,
Eastern Standard Sungrown,Caldwell,Sampler,4,Robusto,NC,"5.0"" x 50",8/11/2025,Backordered,,CI,,
Eastern Standard Corretto,Caldwell,Sampler,4,Robusto,NC,"5.0"" x 50",8/11/2025,Backordered,,CI,,
Midnight Express Robusto,Caldwell,Sampler,4,Robusto,NC,"5.0"" x 50",8/11/2025,Backordered,,CI,,
The King is Dead Premier,Caldwell,Sampler,4,Robusto,NC,"5.5"" x 50",8/11/2025,Backordered,,CI,,
Long Live the King The Heater,Caldwell,Sampler,4,Corona,NC,"5.7"" x 46",8/11/2025,Backordered,,CI,,
Padron 2000 Maduro,Padron,Loose,5,Robusto,NC,"5.0"" x 50",8/11/2025,8/13/2025,,CI,,
La Flor Dominicana Los Tubos Sampler,LFD,Tubos,5,Misc,NC,Misc,8/11/2025,8/13/2025,,CI,,
1926 Series No. 2 Natural,Padron,Box,10,Belicosos,NC,"5.5"" x 52",8/14/2025,8/16/2025,,CI,,
1926 Series No. 2 Maduro,Padron,Box,10,Belicosos,NC,"5.5"" x 52",8/14/2025,8/16/2025,,CI,,
Vintage 1999 Connecticut,Rocky Patel,Loose,5,Toro,NC,"6.5"" x 52",8/14/2025,8/16/2025,,CI,,
La Nox,LFD,Box,20,Churchhill,NC,"6.5"" x 50",8/16/2025,8/23/2025,,Fox,,
Winston Churchill The Late Hour,Davidoff,Pack,4,Toro,NC,"6"" x 54",8/16/2025,8/23/2025,,Fox,,
Grand Cru No. 3,Davidoff,Pack,5,Petit Corona,NC,"5"" x 43",8/16/2025,8/23/2025,,Fox,,
Siglo VI,Cohiba,Box,10,Toro,CC,"5.9"" x 52",8/23/2025,8/30/2025,12/1/2024,RSVP,$150,2030 or bust
Liga Privada Aniversario,Drew Estate,Box,10,Toro,NC,"6.0"" x 52",8/23/2025,8/23/2025,,2 Guys,,
Padron Ruby Red TG 40th Maduro,Padron,Loose,2,Gordo,NC,"5.75"" x 56",8/23/2025,8/23/2025,,2 Guys,,
1964 Anniversary Maduro,Padron,Loose,2,Exclusivo,NC,"5.5"" x 50",8/23/2025,8/23/2025,,2 Guys,,
1964 Anniversary Natural,Padron,Loose,2,Exclusivo,NC,"5.5"" x 50",8/23/2025,8/23/2025,,2 Guys,,
Liga Privada No. 9,Drew Estate,Box,24,Toro,NC,"6.0"" x 52",8/23/2025,8/27/2025,,CI,,
Drew Estate Free 8-Cigar Sampler,Drew Estate,Loose,8,Toro,NC,"6.0"" x 52",8/23/2025,8/27/2025,,CI,,
Nicaragua,Davidoff,Pack,4,Toro,NC,"5.5"" x 54",8/23/2025,8/27/2025,,CI,,
Yamasa,Davidoff,Pack,4,Toro,NC,"6.0"" 2 52",8/23/2025,8/27/2025,,CI,,
Escurio,Davidoff,Pack,4,Gran Toro,NC,"5.5"" x 58",8/23/2025,8/27/2025,,CI,,
Millennium Series,Davidoff,Pack,4,Toro,NC,"6.0"" x 50",8/23/2025,8/27/2025,,CI,,
Signature Series,Davidoff,Pack,4,Toro,NC,"6.0"" x 54",8/23/2025,8/27/2025,,CI,,
Wide Churchhill,Romeo y Julieta,Box,10,Robusto Gordo,CC,"5.2"" x 55",8/24/2025,8/29/2025,10/1/2023,Mr. Cigar,$33,
Montecristo,Double Edmundo,Box,10,Toro,CC,"6.0"" x 50",8/24/2025,8/29/2025,5/1/2024,Mr. Cigar,$43,
Cohiba Club,Cohiba,Carton,100,Cigarillo,CC,"3.75"" x 22",8/24/2025,8/29/2025,,Mr. Cigar,$1,
La Colmena No. 44,Warped,Box,10,Corona,NC,"5.5"" x 44",9/1/2025,9/4/2025,,CI,,
Grand Cru Series,Davidoff,Pack,4,Toro,NC,"6.0"" x 54",9/1/2025,9/4/2025,,CI,,
Winston Churchill Commander,Davidoff,Pack,4,Toro,NC,"6.0"" x 54",9/1/2025,9/4/2025,,CI,,
Cojonu '15 Habano,Tatuaje,Box,21,Robusto Extra,NC,"5.0"" x 55",9/1/2025,9/4/2025,,CI,,
Serie B ,God of Fire ,Loose,2,Double Robusto,NC,"5.75"" x 52",9/7/2025,9/11/2025,,Fox,,
Opus X Lost City,Arturo Fuente,Box,10,Double Robusto,NC,"5.75"" x 52",9/7/2025,9/11/2025,,Fox,,
Le Bijou 1922 ,My Father ,Box,23,Churchhill,NC,"7.0"" x 50",9/12/2025,9/16/2025,,CI,,
Trinidad Reyes,Trinidad,Box,12,Reyes,CC,"4.3"" x 40",9/14/2025,Stuck,,OC,,
Siglo I,Cohiba,Box,25,Petit Corona,CC,"4.0"" x 40",10/10/2025,10/13/2025,12/1/2024,BR,$31,Try one summer - fall 2026
Reyes,Trinidad,Box,12,Reyes,CC,"4.3"" x 40",10/14/2025,10/16/2025,2/1/2024,,$30,Spring 2026
Punch ,Short de Punch 2022,Box,10,,CC,,10/14/2025,10/16/2025,10/1/2024,,$30,Spring 2026
Hoyo De Monterrey ,Le Hoyo du Depute,Box,25,,CC,,10/14/2025,10/16/2025,3/1/2023,,$15,1 Month rest from travel
Ramon Allones ,Specially Selected,Box,25,,CC,,10/14/2025,10/16/2025,2/1/2025,,$28,"1 Month rest from travel - ""RASS"""
Quai d Orsay ,No 54,Box,10,,CC,,10/14/2025,10/16/2025,6/1/2024,,$29,1 Month rest from travel
La FLor Dominicana,Andalusian Bull,Loose,3,,NC,,10/17/2025,10/21/2025,,,,
Ramon Allones ,No 3,Loose,3,,CC,,10/17/2025,10/21/2025,,,$45,
Rafael Gonzales ,Perla,Loose,3,,CC,,10/17/2025,10/21/2025,,,$9,
Romeo y Julieta ,No 2 Tubo,Loose,3,,CC,,10/17/2025,10/21/2025,,,$18,
San Cristobal ,El Principe,Loose,3,,CC,,10/17/2025,10/21/2025,,,$15,
Vega Fina,???,Loose,2,,CC,,10/17/2025,10/21/2025,,,,
H Upmann ,Coronas Major Tubo,Loose,3,,CC,,10/17/2025,10/21/2025,,,$16,
Hoyo De Monterrey,Epicure No 2,Loose,2,,CC,,10/17/2025,10/21/2025,,,$32,
Partagas,Serie D No 4,Loose,2,,CC,,10/17/2025,10/21/2025,,,$30,
Montecristo,No 2,Loose,2,,CC,,10/17/2025,10/21/2025,,,$42,
Trinidad ,Media Luna,Loose,3,,CC,,10/17/2025,10/21/2025,,,$56,
Quai d Orsay,No 50,Loose,2,,CC,,10/17/2025,10/21/2025,,,$25,
Cohiba,Panetela,Loose,4,,CC,,10/21/2025,11/5/2025,,,$23,
HdM,Epicure Especial,Loose,10,,CC,,10/21/2025,11/5/2025,,,$40,
H Upmann ,Magnum 54,Loose,10,,CC,,10/21/2025,11/5/2025,,,$30,
Vegas Robaina,Famosos,Loose,4,,CC,,10/21/2025,11/5/2025,,,$24,
RYJ,No 1,Loose,5,,CC,,10/21/2025,11/5/2025,,,$18,
Ramon Allones,Small Club Corona,Loose,4,,CC,,10/21/2025,11/5/2025,,,$17,
Ramon Allones,Superiores,Loose,4,,CC,,10/21/2025,11/5/2025,,,$30,
Vegueros,Entretiempos,Loose,4,,CC,,10/21/2025,11/5/2025,,,$12,
Quai d Orsay,No 52,Loose,3,,CC,,10/21/2025,11/5/2025,,,$37,
Bolivar,Belicosos Finos,Loose,2,,CC,,10/21/2025,11/5/2025,,,$30,
H Upmann,Half Corona,Loose,2,,CC,,10/21/2025,11/5/2025,,,$13,
Cohiba,Maduro Secretos,Loose,10,,CC,,10/21/2025,11/5/2025,,,$55,
Cohiba,Siglo V,Loose,6,,CC,,10/21/2025,11/5/2025,,,$88,
